street id;street name;period;count
956551;On or near Theatre/concert Hall;from 2019-01 till 2019-05;69
968287;On or near Shopping Area;from 2019-01 till 2019-05;69
961503;On or near Calvert Avenue;from 2019-01 till 2019-05;69
953339;On or near Victoria Street;from 2019-01 till 2019-05;69
961615;On or near Mile End Road;from 2019-01 till 2019-05;69
1486616;West Ham (dlr);from 2019-01 till 2019-05;69
956581;On or near Nightclub;from 2019-01 till 2019-05;69
980531;On or near Hospital;from 2019-01 till 2019-05;69
975216;On or near Shopping Area;from 2019-01 till 2019-05;69
789358;On or near Supermarket;from 2019-01 till 2019-05;69
789450;On or near Hospital;from 2019-01 till 2019-05;69
946088;On or near Wren Road;from 2019-01 till 2019-05;69
949497;On or near Nightclub;from 2019-01 till 2019-05;69
